time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-10 00:00:00+00:00,,,9,5
2025-12-11 00:00:00+00:00,2.0,2.0,9,5
2025-12-12 00:00:00+00:00,4.0,4.0,6,5
2025-12-13 00:00:00+00:00,3.0,3.0,1,1
2025-12-14 00:00:00+00:00,9.0,9.0,1,1
2025-12-15 00:00:00+00:00,5.0,5.0,22,3
2025-12-16 00:00:00+00:00,10.0,10.0,50,3
2025-12-17 00:00:00+00:00,7.0,6.0,2,2
2025-12-18 00:00:00+00:00,6.0,6.0,2,2
2025-12-19 00:00:00+00:00,6.0,6.0,22,3
2025-12-20 00:00:00+00:00,13.0,8.0,2,2
2025-12-21 00:00:00+00:00,4.0,4.0,1,1
2025-12-22 00:00:00+00:00,3.0,3.0,22,6
2025-12-23 00:00:00+00:00,9.0,9.0,5,3
