time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-11 00:00:00+00:00,5,4,4.0,3.0
2024-05-12 00:00:00+00:00,347,14,1.0,1.0
2024-05-13 00:00:00+00:00,1091,77,23.0,3.0
2024-05-14 00:00:00+00:00,22,16,76.0,2.0
2024-05-15 00:00:00+00:00,21,20,56.0,5.0
2024-05-16 00:00:00+00:00,14,14,58.0,7.0
2024-05-17 00:00:00+00:00,4,4,,
2024-05-18 00:00:00+00:00,4,3,,
2024-05-19 00:00:00+00:00,3,2,34.0,3.0
2024-05-20 00:00:00+00:00,560,3,27.0,2.0
2024-05-21 00:00:00+00:00,166,6,23.0,3.0
2024-05-22 00:00:00+00:00,39,34,123.0,4.0
2024-05-23 00:00:00+00:00,23,22,19.0,4.0
2024-05-24 00:00:00+00:00,11,8,,
