url_path,views_total,views_unique
/vhive-serverless/vSwarm,35,20
/vhive-serverless/vSwarm/tree/main/benchmarks,27,6
/vhive-serverless/vSwarm/tree/main/benchmarks/video-analytics,17,2
/vhive-serverless/vSwarm/blob/e773c57fced31be94b170501346c58b5879c086c/benchmarks/aes/yamls/knative/kn-aes-go-tracing.yaml,14,1
/vhive-serverless/vSwarm/tree/main/docs,13,3
/vhive-serverless/vSwarm/tree/main/benchmarks/online-shop,9,3
/vhive-serverless/vSwarm/tree/main/benchmarks/online-shop/shippingservice,8,2
/vhive-serverless/vSwarm/blob/main/tools/deployer/client.go,8,1
/vhive-serverless/vSwarm/blob/main/docs/running_benchmarks.md,7,2
/vhive-serverless/vSwarm/tree/main/runner,7,2
