time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-17 00:00:00+00:00,34.0,3.0,20,10
2024-06-18 00:00:00+00:00,9.0,7.0,19,5
2024-06-19 00:00:00+00:00,51.0,27.0,4,4
2024-06-20 00:00:00+00:00,100.0,65.0,107,6
2024-06-21 00:00:00+00:00,64.0,40.0,39,9
2024-06-22 00:00:00+00:00,10.0,8.0,9,3
2024-06-23 00:00:00+00:00,11.0,11.0,8,2
2024-06-24 00:00:00+00:00,23.0,7.0,46,10
2024-06-25 00:00:00+00:00,8.0,5.0,65,14
2024-06-26 00:00:00+00:00,25.0,6.0,24,4
2024-06-27 00:00:00+00:00,6.0,4.0,79,15
2024-06-28 00:00:00+00:00,,,123,4
2024-06-29 00:00:00+00:00,1.0,1.0,8,3
2024-06-30 00:00:00+00:00,5.0,3.0,242,6
