time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-16 00:00:00+00:00,137,71,68,10
2024-01-17 00:00:00+00:00,42,28,54,10
2024-01-18 00:00:00+00:00,61,15,191,21
2024-01-19 00:00:00+00:00,53,34,51,17
2024-01-20 00:00:00+00:00,161,60,13,6
2024-01-21 00:00:00+00:00,155,67,82,4
2024-01-22 00:00:00+00:00,177,54,19,10
2024-01-23 00:00:00+00:00,107,25,94,15
2024-01-24 00:00:00+00:00,35,22,85,17
2024-01-25 00:00:00+00:00,102,40,79,18
2024-01-26 00:00:00+00:00,98,59,211,19
2024-01-27 00:00:00+00:00,77,44,31,8
2024-01-28 00:00:00+00:00,43,26,29,10
2024-01-29 00:00:00+00:00,80,42,78,14
