time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-21 00:00:00+00:00,147,64,82,4
2024-01-22 00:00:00+00:00,177,54,19,10
2024-01-23 00:00:00+00:00,107,25,94,15
2024-01-24 00:00:00+00:00,35,22,85,17
2024-01-25 00:00:00+00:00,102,40,79,18
2024-01-26 00:00:00+00:00,98,59,211,19
2024-01-27 00:00:00+00:00,77,44,31,8
2024-01-28 00:00:00+00:00,43,26,29,10
2024-01-29 00:00:00+00:00,80,42,78,14
2024-01-30 00:00:00+00:00,272,83,80,17
2024-01-31 00:00:00+00:00,77,51,68,9
2024-02-01 00:00:00+00:00,120,55,113,10
2024-02-02 00:00:00+00:00,143,41,137,15
2024-02-03 00:00:00+00:00,80,43,128,4
