time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-02 00:00:00+00:00,109,59,8,5
2025-11-03 00:00:00+00:00,290,141,17,12
2025-11-04 00:00:00+00:00,427,175,10,10
2025-11-05 00:00:00+00:00,254,136,81,15
2025-11-06 00:00:00+00:00,101,68,10,7
2025-11-07 00:00:00+00:00,194,104,14,9
2025-11-08 00:00:00+00:00,124,63,5,4
2025-11-09 00:00:00+00:00,93,66,33,10
2025-11-10 00:00:00+00:00,955,346,20,8
2025-11-11 00:00:00+00:00,786,273,18,15
2025-11-12 00:00:00+00:00,274,161,37,9
2025-11-13 00:00:00+00:00,31,20,13,10
2025-11-14 00:00:00+00:00,25,22,30,12
2025-11-15 00:00:00+00:00,21,19,18,6
