time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-02 00:00:00+00:00,72,40,16,6
2024-01-03 00:00:00+00:00,84,51,37,8
2024-01-04 00:00:00+00:00,78,37,39,8
2024-01-05 00:00:00+00:00,58,28,32,3
2024-01-06 00:00:00+00:00,105,59,13,3
2024-01-07 00:00:00+00:00,126,54,12,6
2024-01-08 00:00:00+00:00,190,86,34,7
2024-01-09 00:00:00+00:00,122,73,53,9
2024-01-10 00:00:00+00:00,130,77,40,5
2024-01-11 00:00:00+00:00,108,63,27,6
2024-01-12 00:00:00+00:00,76,43,59,7
2024-01-13 00:00:00+00:00,34,25,14,6
2024-01-14 00:00:00+00:00,17,14,51,7
2024-01-15 00:00:00+00:00,301,71,241,8
