time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-26 00:00:00+00:00,931,245,23,6
2025-11-27 00:00:00+00:00,1219,255,10,7
2025-11-28 00:00:00+00:00,1533,284,6,5
2025-11-29 00:00:00+00:00,1278,276,3,3
2025-11-30 00:00:00+00:00,1228,271,2,2
2025-12-01 00:00:00+00:00,1223,312,15,10
2025-12-02 00:00:00+00:00,2639,320,20,5
2025-12-03 00:00:00+00:00,2003,387,46,21
2025-12-04 00:00:00+00:00,1150,301,27,4
2025-12-05 00:00:00+00:00,446,190,3,3
2025-12-06 00:00:00+00:00,96,40,7,5
2025-12-07 00:00:00+00:00,13,13,11,7
2025-12-08 00:00:00+00:00,128,51,21,13
2025-12-09 00:00:00+00:00,22,17,3,3
