time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-22 00:00:00+00:00,9.0,7.0,9,3
2024-06-23 00:00:00+00:00,11.0,11.0,8,2
2024-06-24 00:00:00+00:00,23.0,7.0,46,10
2024-06-25 00:00:00+00:00,8.0,5.0,65,14
2024-06-26 00:00:00+00:00,25.0,6.0,24,4
2024-06-27 00:00:00+00:00,6.0,4.0,79,15
2024-06-28 00:00:00+00:00,,,123,4
2024-06-29 00:00:00+00:00,1.0,1.0,8,3
2024-06-30 00:00:00+00:00,5.0,3.0,262,6
2024-07-01 00:00:00+00:00,22.0,6.0,469,17
2024-07-02 00:00:00+00:00,24.0,6.0,362,10
2024-07-03 00:00:00+00:00,38.0,9.0,177,13
2024-07-04 00:00:00+00:00,9.0,6.0,31,7
2024-07-05 00:00:00+00:00,,,28,9
