time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-14 00:00:00+00:00,128,57,97,23
2023-04-15 00:00:00+00:00,151,60,70,17
2023-04-16 00:00:00+00:00,166,83,43,8
2023-04-17 00:00:00+00:00,458,178,103,16
2023-04-18 00:00:00+00:00,963,196,149,24
2023-04-19 00:00:00+00:00,708,227,44,13
2023-04-20 00:00:00+00:00,715,175,111,13
2023-04-21 00:00:00+00:00,702,192,44,13
2023-04-22 00:00:00+00:00,673,166,10,6
2023-04-23 00:00:00+00:00,524,172,24,10
2023-04-24 00:00:00+00:00,631,173,57,15
2023-04-25 00:00:00+00:00,597,190,58,17
2023-04-26 00:00:00+00:00,658,214,50,20
2023-04-27 00:00:00+00:00,796,217,79,25
