time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-28 00:00:00+00:00,148,80,53,2
2022-07-29 00:00:00+00:00,3,2,37,5
2022-07-30 00:00:00+00:00,271,92,34,6
2022-07-31 00:00:00+00:00,298,94,83,5
2022-08-01 00:00:00+00:00,259,59,62,6
2022-08-02 00:00:00+00:00,41,2,16,4
2022-08-03 00:00:00+00:00,247,76,51,4
2022-08-04 00:00:00+00:00,1104,144,34,5
2022-08-05 00:00:00+00:00,1315,138,37,6
2022-08-06 00:00:00+00:00,931,130,16,3
2022-08-07 00:00:00+00:00,863,125,27,2
2022-08-08 00:00:00+00:00,976,124,65,3
2022-08-09 00:00:00+00:00,720,119,40,6
2022-08-10 00:00:00+00:00,1891,142,222,3
