time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-11 00:00:00+00:00,866,131,26,2
2022-09-12 00:00:00+00:00,1203,150,28,3
2022-09-13 00:00:00+00:00,1811,163,52,11
2022-09-14 00:00:00+00:00,1644,167,38,7
2022-09-15 00:00:00+00:00,1245,150,59,9
2022-09-16 00:00:00+00:00,1003,142,1,1
2022-09-17 00:00:00+00:00,802,134,9,3
2022-09-18 00:00:00+00:00,1104,140,135,6
2022-09-19 00:00:00+00:00,1506,160,9,3
2022-09-20 00:00:00+00:00,1434,151,32,5
2022-09-21 00:00:00+00:00,1745,152,57,7
2022-09-22 00:00:00+00:00,2704,163,27,4
2022-09-23 00:00:00+00:00,2629,131,21,8
2022-09-24 00:00:00+00:00,1980,128,21,1
